FrageNr;Frage;Frage_Bild1;Frage_Bild1_scale;Frage_Bild2;Frage_Bild2_scale;AntwortA;AntwortA_Bild;AntwortA_Bild_scale;AntwortB;AntwortB_Bild;AntwortB_Bild_scale;AntwortC;AntwortC_Bild;AntwortC_Bild_scale;AntwortD;AntwortD_Bild;AntwortD_Bild_scale
TG307;Wie und wo wird die Ausgangsleistung eines SSB-Senders gemessen?;;;;;An der Antennenbuchse wird bei Ein- oder Zweitonaussteuerung die Leistung gemessen.;;;Am Speisepunkt der Antenne wird bei Eintonaussteuerung die Leistung gemessen.;;;An der Antennenbuchse wird bei Sprachmodulation die maximale Hüllkurvenleistung (PEP) gemessen.;;;Am Speisepunkt der Antenne wird bei Sprachmodulation die maximale Hüllkurvenleistung (PEP) gemessen.;;
TG308;Bei einer Senderausgangsimpedanz von 240 Ω sollte für eine optimale Leistungsübertragung die Last;;;;;240 Ω betragen.;;;60 Ω betragen.;;;120 Ω betragen.;;;50 Ω betragen.;;
TG309;Welche Funktion hat das Ausgangs-Pi-Filter eines HF-Senders?;;;;;Es dient der Anpassung der Last und verbessert die Unterdrückung von Oberwellen.;;;Es dient der Verbesserung des Stehwellenverhältnisses bei nicht resonanter Antenne.;;;Es dient der Verbesserung des Wirkungsgrads der Endstufe durch Änderung der ALC.;;;Es dient dem Schutz der Endstufe bei offener oder kurzgeschlossener Antennenbuchse.;;
TG310;LC-Schaltungen unmittelbar vor und hinter einem HF-Leistungsverstärker dienen;;;;;zur optimalen Anpassung der Ein- und Ausgangsimpedanzen.;;;zur optimalen Einstellung des Arbeitspunktes nach Betrag und Phase.;;;zur Verringerung der rücklaufenden Leistung bei Fehlanpassung.;;;zur Erhöhung des HF-Wirkungsgrades der Verstärkerstufe.;;
TG311;Welche Funktion haben C₁, C₂ und L₁ in der folgenden Schaltung?;tg311_a.jpg;1.0;;;Sie passen die Eingangsimpedanz an den niederohmigeren Transistoreingang an.;;;Sie unterdrücken unerwünschte Harmonische der vorhergehenden Treiberstufe;;;Sie dienen zur optimalen Einstellung des Arbeitspunktes für den Endstufentransistor.;;;Sie schützen den Endstufentransistor vor Überlastung.;;
TG312;Welche der nachfolgenden Aussagen trifft nicht für die Schaltung zu?;tg312_a.jpg;1.0;;;R₁ dient zur Arbeitspunkteinstellung des Transistors T1.;;;C₄, C₅ und L₂ passen den Transistorausgang an die niederohmigere Ausgangsimpedanz an.;;;C₁, C₂ und L₁ passen die hochohmigere Eingangsimpedanz an den Transistoreingang an.;;;HF-Eingang und HF-Ausgang sind gleichspannungsfrei.;;
TG313;Bei dieser Schaltung handelt es sich um;tg313_a.jpg;1.0;;;eine HF-Endstufe mit einer Triode in Gitterbasisschaltung.;;;einen HF-Oszillator mit Katodenmodulation.;;;eine UKW-Vorstufe mit einer Triode in Katodenbasisschaltung.;;;ein Pendelaudion mit Selbstüberlagerung.;;
TG314;Bei C₁, C₂ und L₁ handelt es sich um;tg314_a.jpg;1.0;;;einen Pi-Filter zur Anpassung der Antenne an die Ausgangsimpedanz der Röhre.;;;einen regelbaren Bandfilter mit veränderbarer Bandbreite zur Kompensation der Auskoppelverluste.;;;einen abstimmbaren Sperrkreis zur Unterdrückung von Harmonischen.;;;einen Idler-Kreis, der die zweite Harmonische unterdrückt und so den Wirkungsgrad der Verstärkerstufe erhöht.;;
TG315;Das folgende Bild zeigt eine HF-Endstufe. Welche Bedeutung und Funktion haben C₁, C₂ und L₁ ? Wie sind die Bedienknöpfe der beiden Kondensatoren an einer Endstufe wahrscheinlich beschriftet?;tg315_a.jpg;1.0;;;An dem Drehknopf für C₁ steht 'CPlate' oder 'Plate', an dem für C₂ steht 'CLoad' oder 'Load'. Die drei Bauelemente C₁, C₂ und L₁ bilden zusammen einen so genannten Pi-Tankkreis zur Anpassung der Ausgangsimpedanz der Röhre an die Antennenimpedanz.;;;An dem Drehknopf für C₁ steht 'CLoad' oder 'Load', an dem für C₂ steht 'CPlate' oder 'Plate'. Die drei Bauelemente C₁, C₂ und L₁ bilden zusammen ein abstimmbaren Sperrkreis zur Unterdrückung von Harmonischen.;;;An dem Drehknopf für C₁ steht 'CPlate' oder 'Plate', an dem für C₂ steht 'CLoad' oder 'Load'. Die drei Bauelemente C₁, C₂ und L₁ bilden zusammen ein abstimmbaren Sperrkreis zur Unterdrückung von Harmonischen.;;;An dem Drehknopf für C₁ steht 'CLoad' oder 'Load', an dem für C₂ steht 'CPlate' oder 'Plate'. Die drei Bauelemente C₁, C₂ und L₁ bilden zusammen einen so genannten Pi-Tankkreis zur Anpassung der Ausgangsimpedanz der Röhre an die Antennenimpedanz.;;
TG316;Wie wird die folgende Endstufe richtig auf die Sendefrequenz abgestimmt?;tg316_a.jpg;1.0;;;C₁ und C₂ auf maximale Kapazität stellen. C₁ auf Dip im Anodenstrom (Resonanz) stellen, dann mit C₂ einen etwas höheren Anodenstrom einstellen (Leistung auskoppeln). Vorgang mit C₁ und C₂ wechselweise mehrmals wiederholen bis die maximale Ausgangsleistung erreicht ist. Nach dem Abstimmvorgang sollte ein Dip von etwa 10 % verbleiben.;;;C₁ und C₂ auf minimale Kapazität stellen. C₂ auf Dip im Anodenstrom (Resonanz) stellen, dann mit C₁ einen etwas höheren Anodenstrom einstellen (Leistung auskoppeln). Vorgang mit C₁ und C₂ wechselweise mehrmals wiederholen bis die maximale Ausgangsleistung erreicht ist. Nach dem Abstimmvorgang sollte ein Dip von etwa 20 % verbleiben.;;;C₁ und C₂ auf maximale Kapazität stellen. C₁ auf Dip im Anodenstrom (Resonanz) stellen, dann mit C₂ einen etwas niedrigeren Anodenstrom einstellen (Leistung einkoppeln). Vorgang mit C₁ und C₂ wechselweise mehrmals wiederholen bis die maximale Oberwellenleistung erreicht ist. Nach dem Abstimmvorgang sollte ein Dip von etwa 10 % verbleiben.;;;C₁ und C₂ auf minimale Kapazität stellen. C₂ auf maximalen Anodenstrom (Resonanz) stellen, dann mit C₁ einen etwas niedrigeren Anodenstrom (Dip) einstellen. Vorgang so oft wiederholen bis die maximale Ausgangsleistung erreicht ist. Nach dem Abstimmvorgang sollte ein Dip von etwa 20 % verbleiben.;;
TG318;Wodurch könnte R₁ in der folgenden Schaltung ersetzt werden, um den Arbeitspunkt der Röhre von der HF-Aussteuerung unabhängig einzustellen?;tg318_a.jpg;1.0;;;Durch eine Konstantspannungsquelle;;;Durch eine Konstantstromquelle;;;Durch mehrere Siliziumdioden in Sperrrichtung;;;Durch nichts, da R₁ ohnehin überflüssig ist;;
TG401;Was kann man tun, wenn der Hub bei einem Handfunkgerät oder Mobil-Transceiver zu groß ist?;;;;;Leiser ins Mikrofon sprechen;;;Mehr Leistung verwenden;;;Weniger Leistung verwenden;;;Lauter ins Mikrofon sprechen;;
TG402;In welcher der folgenden Antworten sind Betriebsarten aufgezählt, die man bei einem üblichen Kurzwellentransceiver einstellen kann?;;;;;USB, LSB, FM, RTTY, CW;;;USB, PSK31, FM, SSTV, CW;;;USB, LSB, FM, SSTV, CW;;;USB, LSB, Amtor, Pactor, CW;;
TG403;Wenn man beim Funkbetrieb die Empfangsfrequenz gegenüber der Senderfrequenz geringfügig verstellen möchte, kann man;;;;;die RIT bedienen.;;;das Notchfilter einschalten.;;;das Passband-Tuning verstellen.;;;die PTT einschalten.;;
TG404;Wie wird die Taste am Mikrofon bezeichnet, mit der ein Transceiver auf Sendung geschaltet werden kann?;;;;;PTT;;;VOX;;;RIT;;;SSB;;
TG405;Wie wird der Funkbetrieb bezeichnet, mit der ein Transceiver allein durch die Stimme auf Sendung geschaltet werden kann?;;;;;VOX-Betrieb;;;PTT-Betrieb;;;RIT-Betrieb;;;SSB-Betrieb;;
TG406;Wenn das Grundrauschen auf einer Frequenz im FM-Betrieb ausgeblendet werden soll, verstellt man;;;;;den Squelch.;;;die VOX.;;;die RIT.;;;das Passband-Tuning.;;
TG501;Wodurch können Tastklicks hervorgerufen werden?;;;;;Durch zu steile Flanken der Tastimpulse;;;Durch eine instabile Stromversorgung;;;Durch zu geringe Aussteuerung des Senders;;;Durch falsche Abstimmung der Pufferstufe;;
TG502;Was passiert, wenn bei einem SSB-Sender die Mikrofonverstärkung zu hoch eingestellt wurde?;;;;;Es werden mehr Nebenprodukte der Sendefrequenz erzeugt, die als unerwünschte Ausstrahlung Störungen hervorrufen.;;;Die Gleichspannungskomponente des Ausgangssignals erhöht sich, wodurch der Wirkungsgrad des Senders abnimmt.;;;Es werden mehr Subharmonische der Sendefrequenz erzeugt, die als unerwünschte Ausstrahlung Splattern auf den benachbarten Frequenzen hervorrufen.;;;Es werden mehr Oberwellen der Sendefrequenz erzeugt, die als unerwünschte Ausstrahlung Splattern auf den benachbarten Frequenzen hervorrufen.;;
TG503;Wie kann man bei einem VHF-Sender mit kleiner Leistung die Entstehung parasitärer Schwingungen wirksam unterdrücken?;;;;;Durch Aufstecken einer Ferritperle auf die Emitterzuleitung des Endstufentransistors.;;;Durch Anbringen eines Klappferritkerns an der Mikrofonzuleitung.;;;Durch Aufkleben einer Ferritperle auf das Gehäuse des Endstufentransistors.;;;Durch Anbringen eines Klappferritkerns an der Stromversorgungszuleitung.;;
TG504;Wie ist der Wirkungsgrad eines HF-Generators definiert?;;;;;Als Verhältnis der HF-Ausgangsleistung zu der zugeführten Gleichstromleistung.;;;Als Verhältnis der Stärke der erwünschten Aussendung zur Stärke der unerwünschten Aussendungen.;;;Als Verhältnis der HF-Leistung zu der Verlustleistung der Endstufenröhre bzw. des Endstufentransistors.;;;Als Erhöhung der Ausgangsleistung in der Endstufe bezogen auf die Eingangsleistung.;;
TG505;Wie kann sich die mangelhafte Frequenzstabilität eines Senders bei dessen Betrieb auswirken?;;;;;Durch mögliche Aussendungen außerhalb der Bandgrenzen.;;;Durch Spannungsüberschläge in der Endstufe des Senders.;;;Durch Überlastung der Endstufe des Senders.;;;Durch überhöhte Stromentnahme aus der Stromversorgungsquelle.;;
TG506;Bei digitalen Betriebsarten bis 9600 Bd sollte die Bandbreite der Signale 6 KHz nicht überschreiten. Geben Sie die richtige Begründung für diese Empfehlung an:;;;;;Um möglichst sparsam mit der Bandbreite umzugehen.;;;Um die Oberwellen zu verringern.;;;Um die Sendeleistung zu reduzieren.;;;Um die Gefahr der Selbsterregung zu verringern.;;
TG507;Wie wird in der Regel die hochfrequente Ausgangsleistung eines SSB-Senders vermindert?;;;;;Durch die Verringerung der NF-Ansteuerung und/oder durch Einfügung eines Dämpfungsgliedes zwischen Treiberstufe und Endstufe.;;;Durch die Veränderung des Arbeitspunktes der Endstufe.;;;Durch die Verringerung des Hubes und/oder durch Einfügung eines Dämpfungsgliedes zwischen Steuersender und Endstufe.;;;Nur durch Verringerung des Hubes allein.;;
TG508;Mit welcher Arbeitspunkteinstellung darf die Endstufe eines Einseitenbandsenders im SSB-Betrieb nicht arbeiten, um Verzerrungen (Harmonische und Intermodulationsprodukte), die zu unerwünschten Ausstrahlungen führen, zu vermeiden?;;;;;Im C-Betrieb;;;Im A-Betrieb;;;Im B-Betrieb;;;Im AB-Betrieb;;
TG509;Was für ein Filter muss man zwischen Senderausgang und Antenne einschleifen, um die Abstrahlung von Oberwellen zu reduzieren?;;;;;Ein Tiefpassfilter;;;Ein Hochpassfilter;;;Ein Antennenfilter;;;Ein Sperrkreisfilter;;
TG510;Was kann man tun, wenn der Hub bei einem Handfunkgerät oder Mobiltransceiver zu groß ist?;;;;;Leiser ins Mikrofon sprechen;;;Mehr Leistung verwenden;;;Weniger Leistung verwenden;;;Lauter ins Mikrofon sprechen;;
TG511;Um Nachbarkanalstörungen zu minimieren sollte die Übertragungsbandbreite bei SSB;;;;;höchstens 3 KHz betragen.;;;höchstens 5 KHz betragen.;;;höchstens 10 KHz betragen.;;;höchstens 15 KHz betragen.;;
TG512;Was wird eingesetzt, um die Abstrahlung einer spezifischen Harmonischen wirkungsvoll zu begrenzen?;;;;;Ein Sperrkreis am Senderausgang;;;Eine Gegentaktendstufe;;;Ein Hochpassfilter am Senderausgang;;;Ein Hochpassfilter am Eingang der Senderendstufe;;
TG513;Welche Schaltung wäre zwischen Senderausgang und Antenne eingeschleift am besten zur Verringerung der Oberwellenausstrahlungen geeignet?;;;;;;tg513_a.jpg;1.0;;tg513_b.jpg;1.0;;tg513_c.jpg;1.0;;tg513_d.jpg;1.0
TG514;Um die Gefahr von Eigenschwingungen in HF-Schaltungen zu verringern,;;;;;sollte jede Stufe gut abgeschirmt sein.;;;sollten die Abschirmungen der einzelnen Stufen nicht miteinander verbunden werden.;;;sollten die Betriebsspannungen den einzelnen Stufen mit koaxialen oder verdrillten Leitungen zugeführt werden.;;;sollte jede Stufe eine eigene stabilisierte Stromversorgung haben.;;
TG515;Die Ausgangsleistungsanzeige eines HF-Verstärkers zeigt beim Abstimmen geringfügige sprunghafte Schwankungen. Wodurch werden diese Schwankungen möglicherweise hervorgerufen? Sie werden möglicherweise hervorgerufen durch;;;;;parasitäre Schwingungen.;;;die Stromversorgung.;;;Temperaturschwankungen im Netzteil.;;;vom Wind verursachte Bewegungen der Antenne.;;
TG516;Um die Wahrscheinlichkeit von Eigenschwingungen in einem Leistungsverstärker zu verringern,;;;;;sollten die Ein- und Ausgangsschaltungen gut voneinander entkoppelt werden.;;;sollte Verstärkerausgang und Netzteil möglichst weit voneinander entfernt aufgebaut werden.;;;sollte die Versorgungsspannung über ein Netzfilter zugeführt werden.;;;sollte kein Schaltnetzteil als Stromversorgung verwendet werden.;;
TG517;Welche Harmonische eines 70-cm-Senders führt am ehesten zu Störungen im UHF-Bereich?;;;;;Die zweite Harmonische;;;Die dritte Harmonische;;;Die vierte Harmonische;;;Die fünfte Harmonische;;
TG518;Bei Aussendungen im Frequenzbereich 1,81 bis 2,0 MHz können Spiegelfrequenzstörungen im;;;;;MW-Bereich auftreten.;;;FM-Rundfunkbereich auftreten.;;;LW-Bereich auftreten.;;;10-m-Amateurfunkband auftreten.;;
TG519;Bei der erstmaligen Prüfung eines Senders sollten die Signale zunächst;;;;;in eine künstliche 50-Ω-Antenne eingespeist werden.;;;in eine Antenne eingespeist werden.;;;in einen Kondensator mit einem Blindwiderstand von 50 Ω eingespeist werden.;;;in einen 50-Ω-Drahtwiderstand eingespeist werden.;;
TG520;Welches Diagramm stellt den Frequenzgang eines Ausgangsfilters dar, das die Harmonischen eines Einbandsenders wirkungsvoll unterdrückt?;;;;;;tg520_a.jpg;1.0;;tg520_b.jpg;1.0;;tg520_c.jpg;1.0;;tg520_d.jpg;1.0
TG521;Die dritte Harmonische einer 29,5-MHz-Aussendung fällt in;;;;;den FM-Rundfunkbereich.;;;den VHF-Fernsehbereich.;;;den UKW-Betriebsfunk-Bereich.;;;den 2-m-Amateurfunkbereich.;;
TG522;Bei der Überprüfung des Ausgangssignals eines Senders sollte die Dämpfung der Oberwellen mindestens;;;;;den geltenden Richtwerten entsprechen.;;;30 dB betragen.;;;100 dB betragen.;;;20 dB betragen.;;
TG523;Was gilt beim Sendebetrieb für unerwünschte Aussendungen im Frequenzbereich zwischen 1,7 und 35 MHz? Sofern die Leistung einer unerwünschten Aussendung;;;;;0,25 µW überschreitet, sollte sie um mindestens 40 dB gegenüber der maximalen PEP des Senders gedämpft werden.;;;0,25 µW überschreitet, sollte sie um mindestens 60 dB gegenüber der maximalen PEP des Senders gedämpft werden.;;;1 µW überschreitet, sollte sie um mindestens 60 dB gegenüber der maximalen PEP des Senders gedämpft werden.;;;1 µW überschreitet, sollte sie um mindestens 50 dB gegenüber der maximalen PEP des Senders gedämpft werden.;;
TG524;Was gilt beim Sendebetrieb für unerwünschte Aussendungen im Frequenzbereich zwischen 50 und 1000 MHz? Sofern die Leistung einer unerwünschten Aussendung;;;;;0,25 µW überschreitet, sollte sie um mindestens 60 dB gegenüber der maximalen PEP des Senders gedämpft werden.;;;0,25 µW überschreitet, sollte sie um mindestens 40 dB gegenüber der maximalen PEP des Senders gedämpft werden.;;;1 µW überschreitet, sollte sie um mindestens 60 dB gegenüber der maximalen PEP des Senders gedämpft werden.;;;1 µW überschreitet, sollte sie um mindestens 50 dB gegenüber der maximalen PEP des Senders gedämpft werden.;;
TG525;Wie erfolgt die Messung der Leistungen, die zu unerwünschten Aussendungen führen, in Anlehnung an die EU-Normen?;;;;;Die Messung erfolgt am Senderausgang unter Einbeziehung des gegebenenfalls verwendeten Stehwellenmessgeräts und des gegebenenfalls verwendeten Tiefpassfilters.;;;Die Messung erfolgt am Fußpunkt der im Funkbetrieb verwendeten Antenne unter Einbeziehung des gegebenenfalls verwendeten Antennenanpassgeräts.;;;Die Messung erfolgt am Ausgang der Antennenleitung unter Einbeziehung des im Funkbetrieb verwendeten Antennenanpassgeräts.;;;Die Messung erfolgt am Senderausgang mit einem hochohmigen HF-Tastkopf und angeschlossenem Transistorvoltmeter.;;
TH101;Welche elektrische Länge muss eine Dipolantenne haben, damit sie in Resonanz ist?;;;;;Die elektrische Länge muss ein ganzzahliges Vielfaches von λ/2 betragen (n*λ/2, n=1,2,3...).;;;Die elektrische Länge muss ein ganzzahliges Vielfaches von λ/4 betragen (n*λ/4, n=1,2,3...).;;;Die elektrische Länge muss 5/8*λ, λ/4 oder deren ganzzahlige Vielfache betragen.;;;Die elektrische Länge muss ein ganzzahliges Vielfaches von λ betragen (n*λ, n=1,2,3...).;;
TH102;Welche Aussage zur Strom- und Spannungsverteilung auf einem Dipol ist richtig?;;;;;An den Enden eines Dipols entsteht immer ein Stromknoten und ein Spannungsbauch.;;;An den Enden eines Dipols entsteht immer ein Spannungsknoten und ein Strombauch.;;;Am Einspeisepunkt eines Dipols entsteht immer ein Spannungsknoten und ein Strombauch.;;;Am Einspeisepunkt eines Dipols entsteht immer ein Spannungsbauch und ein Stromknoten.;;
TH103;Ein Dipol wird stromgespeist, wenn an seinem Einspeisepunkt;;;;;ein Spannungsknoten und ein Strombauch liegt. Er ist daher niederohmig.;;;ein Spannungsbauch und ein Stromknoten liegt. Er ist daher hochohmig.;;;ein Spannungs- und ein Strombauch liegt. Er ist daher niederohmig.;;;ein Spannungs- und ein Stromknoten liegt. Er ist daher hochohmig.;;
TH104;Ein Dipol wird spannungsgespeist, wenn an seinem Einspeisepunkt;;;;;ein Spannungsbauch und ein Stromknoten liegt. Er ist daher hochohmig.;;;ein Spannungsknoten und ein Strombauch liegt. Er ist daher niederohmig.;;;ein Spannungs- und ein Strombauch liegt. Er ist daher niederohmig.;;;ein Spannungs- und ein Stromknoten liegt. Er ist daher hochohmig.;;
TH105;Ein mittengespeister λ/2-Dipol ist bei seiner Grundfrequenz und deren ungeradzahligen Vielfachen;;;;;stromgespeist, in Serienresonanz und am Eingang niederohmig.;;;spannungsgespeist, in Parallelresonanz und am Eingang hochohmig.;;;strom- und spannungsgespeist und weist einen rein kapazitiven Eingangswiderstand auf.;;;strom- und spannungsgespeist und weist einen rein induktiven Eingangswiderstand auf.;;
TH106;Ein mittengespeister λ/2-Dipol ist bei geradzahligen Vielfachen seiner Grundfrequenz;;;;;spannungsgespeist, in Parallelresonanz und am Eingang hochohmig.;;;stromgespeist, in Serienresonanz und am Eingang niederohmig.;;;strom- und spannungsgespeist und weist einen rein kapazitiven Eingangswiderstand auf.;;;strom- und spannungsgespeist und weist einen rein induktiven Eingangswiderstand auf.;;
TH107;Der Eingangswiderstand eines mittengespeisten λ/2-Dipols zeigt sich bei dessen Resonanzfrequenzen;;;;;im Wesentlichen als reeller Widerstand.;;;im Wesentlichen als kapazitiver Blindwiderstand.;;;im Wesentlichen als induktiver Blindwiderstand.;;;abwechselnd als kapazitiver oder induktiver Blindwiderstand.;;
TH108;Das folgende Bild zeigt die Stromverteilungen A bis D auf einem Dipol, der auf verschiedenen Resonanzfrequenzen erregt werden kann. Für welche Erregerfrequenz gilt die Stromkurve nach A?;th108_a.jpg;1.0;;;Sie gilt für eine Erregung auf 28 MHz.;;;Sie gilt für eine Erregung auf 14 MHz.;;;Sie gilt für eine Erregung auf 7 MHz.;;;Sie gilt für eine Erregung auf 3,5 MHz.;;
TH109;Das folgende Bild zeigt die Stromverteilungen A bis D auf einem Dipol, der auf verschiedenen Resonanzfrequenzen erregt werden kann. Für welche Erregerfrequenz gilt die Stromkurve nach B?;th109_a.jpg;1.0;;;Sie gilt für eine Erregung auf 14 MHz.;;;Sie gilt für eine Erregung auf 28 MHz.;;;Sie gilt für eine Erregung auf 7 MHz.;;;Sie gilt für eine Erregung auf 3,5 MHz.;;
TH110;Das folgende Bild zeigt die Stromverteilungen A bis D auf einem Dipol, der auf verschiedenen Resonanzfrequenzen erregt werden kann. Für welche Erregerfrequenz gilt die Stromkurve nach C?;th110_a.jpg;1.0;;;Sie gilt für eine Erregung auf 7 MHz.;;;Sie gilt für eine Erregung auf 28 MHz.;;;Sie gilt für eine Erregung auf 14 MHz.;;;Sie gilt für eine Erregung auf 3,5 MHz.;;
TH111;Das folgende Bild zeigt die Stromverteilungen A bis D auf einem Dipol, der auf verschiedenen Resonanzfrequenzen erregt werden kann. Für welche Erregerfrequenz gilt die Stromkurve nach D?;th111_a.jpg;1.0;;;Sie gilt für eine Erregung auf 3,5 MHz.;;;Sie gilt für eine Erregung auf 28 MHz.;;;Sie gilt für eine Erregung auf 7 MHz.;;;Sie gilt für eine Erregung auf 14 MHz.;;
TH112;Das folgende Strahlungsdiagramm ist typisch für;th112_a.jpg;1.0;;;einen Halbwellendipol.;;;eine Richtstrahlantenne mit zwei Elementen.;;;eine Ganzwellenantenne.;;;eine Drei-Halbwellenlängen-Antenne.;;
TH113;Die Impedanz eines Halbwellendipols bei mindestens einer Wellenlänge über dem Boden beträgt ungefähr;;;;;75 Ω.;;;50 Ω.;;;30 Ω.;;;600 Ω.;;
TH114;Ein Faltdipol hat einen Eingangswiderstand von ungefähr;;;;;240 Ω.;;;60 Ω.;;;50 Ω.;;;30-60 Ω.;;
TH115;Die Länge des Drahtes zur Herstellung eines Faltdipols entspricht;;;;;einer Wellenlänge.;;;einer Halbwellenlänge.;;;zwei Wellenlängen.;;;vier Wellenlängen.;;
TH116;Ein Parallelresonanzkreis (Trap) in jeder Dipolhälfte;;;;;erlaubt eine Anpassung für mindestens zwei Frequenzbereiche.;;;erhöht die effiziente Nutzung des jeweiligen Frequenzbereichs.;;;ermöglicht eine breitbandigere Anpassung.;;;ermöglicht die Unterdrückung der Harmonischen.;;
TH117;Sie wollen verschiedene Antennen testen, ob sie für den Funkbetrieb auf Kurzwelle für das 80-m-Band geeignet sind. Man stellt Ihnen jeweils drei Antennen zur Verfügung. Welches Angebot wählen sie, um nur die drei besonders gut geeigneten Antennen testen zu müssen?;;;;;Dipol, Delta-Loop, W3DZZ-Antenne;;;Beam, Groundplane-Antenne, Dipol;;;Dipol, W3DZZ-Antenne, Beam;;;Dipol, Delta-Loop, Langyagi;;
TH118;In welcher Zeile sind besonders für den Kurzwellenbereich geeignete Antennen aufgeführt?;;;;;Delta-Loop, Rhombus-Antenne, Groundplane;;;Beam, Groundplane-Antenne, Hornstrahler;;;Helical-Antenne, Rhombus-Antenne, Hornstrahler;;;Parabolantenne, Windom-Antenne, Langyagi;;
TH119;Was sind typische KW-Amateurfunksendeantennen?;;;;;Langdraht-Antenne, Groundplane-Antenne, Yagiantenne, Dipolantenne, Rhombus-Antenne, Cubical-Quad-Antenne, Windom-Antenne, Delta-Loop-Antenne;;;Langdraht-Antenne, Backfire-Antenne, Dipolantenne, Rhombus-Antenne, Helical-Antenne, Groundplane-Antenne, Doppelquad, Malteserkreuzantenne, Winkelreflektorantenne;;;Groundplane-Antenne, W3DZZ-Dipolantenne, Langyagi, Rhombus-Antenne, Kugelstrahler, Big Wheel-Antenne, J-Antenne, Ferritantenne, Schlitzantennen, Kreuzyagi-Antenne;;;Dipolantenne, Rhombus-Antenne, Cubical-Quad-Antenne, Discone-Antenne, HB9CVAntenne, Hornstrahler, J-Antenne, Sperrtopf, Parabolspiegel;;
TH120;Welche Antennenformen werden im VHF-UHF-Bereich bei den Funkamateuren in der Regel nicht verwendet?;;;;;Langdraht-Antennen;;;Yagi-Antennen;;;Parabolantennen;;;Schlitz-Antennen;;
TH121;Welche Antenne gehört nicht zu den symmetrischen Antennen?;;;;;Groundplane;;;Faltdipol;;;Yagi;;;λ/2-Dipol;;
TH122;Eine Marconi-Antenne ist;;;;;eine gegen Erde erregte λ/4-Vertikalantenne.;;;eine Groundplane-Antenne mit abgestimmten Radials.;;;eine horizontale λ/2-Langdrahtantenne.;;;eine vertikale Halbwellenantenne.;;
TH123;Bei welcher Länge hat eine Vertikalantenne die günstigsten Strahlungseigenschaften?;;;;;5/8 λ;;;λ/4;;;λ/2;;;3/4 λ;;
TH124;Eine Vertikalantenne erzeugt;;;;;einen flachen Abstrahlwinkel.;;;zirkulare Polarisation.;;;einen hohen Abstrahlwinkel.;;;elliptische Polarisation.;;
TH125;Welche Antennenart ist hier dargestellt?;th125_a.jpg;1.0;;;Langdrahtantenne;;;Koaxialgespeiste Doppel-Windom-Antenne;;;Dipolantenne;;;Groundplane-Antenne;;
TH126;Welcher Prozentsatz entspricht dem Korrekturfaktor, der üblicherweise für die Berechnung der Länge einer Drahtantenne verwendet wird?;;;;;95%;;;75%;;;66%;;;100%;;
TH127;Welches der folgenden Bauteile sollte mit einem 15-m-langen Antennendraht in Reihe geschaltet werden, damit die Resonanz im 3,5-MHz-Bereich erfolgen kann?;;;;;Spule;;;Parallelkreis mit einer Resonanzfrequenz von 3,5 MHz;;;Kondensator;;;RC-Glied;;
TH128;Wie wird die folgende Antenne in der Amateurfunkliteratur bezeichnet?;th128_a.jpg;1.0;;;Sie wird Zeppelin-Antenne genannt.;;;Sie wird Windom-Antenne genannt.;;;Sie wird Fuchs-Antenne genannt.;;;Sie wird Marconi-Antenne genannt.;;
TH129;Wie wird die folgende Antenne in der Amateurfunkliteratur bezeichnet?;th129_a.jpg;1.0;;;Sie wird G5RV-Antenne genannt.;;;Sie wird Windom-Antenne genannt.;;;Sie wird Fuchs-Antenne genannt.;;;Sie wird Zeppelin-Antenne genannt.;;
TH130;Wie wird die folgende Antenne in der Amateurfunkliteratur bezeichnet?;th130_a.jpg;1.0;;;Sie wird Windom-Antenne genannt.;;;Sie wird Fuchs-Antenne genannt.;;;Sie wird Zeppelin-Antenne genannt.;;;Sie wird Marconi-Antenne genannt.;;
TH131;Wie wird die folgende Antenne in der Amateurfunkliteratur bezeichnet?;th131_a.jpg;1.0;;;Sie wird Fuchs-Antenne genannt.;;;Sie wird Windom-Antenne genannt.;;;Sie wird G5RV-Antenne genannt.;;;Sie wird Zeppelin-Antenne genannt.;;
TH132;Welche Antennenart ist hier dargestellt?;th132_a.jpg;1.0;;;Trap-Dipol;;;Einband-Dipol mit Oberwellenfilter;;;Feedergespeister einfacher Dipol mit Gleichwellenfilter;;;Feedergespeiste Doppel-Quad;;
TH133;Wenn man diese Mehrband-Antenne auf 7 MHz erregt, dann wirken die LC-Resonanzkreise;th133_a.jpg;1.0;;;als Sperrkreise für die Erregerfrequenz.;;;wie eine induktive Verlängerung des Strahlers.;;;wie eine kapazitive Verkürzung des Strahlers.;;;wie eine Vergrößerung des Strahlungswiderstands der Antenne.;;
TH134;Wenn man diese Mehrband-Antenne auf 3,5 MHz erregt, dann wirken die LC-Resonanzkreise;th134_a.jpg;1.0;;;wie eine induktive Verlängerung des Strahlers.;;;als Sperrkreise für die Erregerfrequenz.;;;wie eine kapazitive Verkürzung des Strahlers.;;;wie eine Vergrößerung des Strahlungswiderstands der Antenne.;;
